aalib 1.4rc5-18
python-mouseinfo 0.1.3-1
python-packaging 25.0-1
python-pillow 11.3.0-1
python-pip 25.1.1-1
python-platformdirs 4.3.6-2
python-psutil 7.0.0-1
python-pyautogui 0.9.54-2
python-pycparser 2.22-3
python-pygdbmi 0.11.0.0-5
python-pygments 2.19.2-1
python-pymsgbox 1.0.9-2
python-pyperclip 1.9.0-3
python-pyproject-hooks 1.2.0-3
python-pyscreeze 1.0.1-1
python-pytweening 1.2.0-2
python-requests 2.32.4-1
python-sentry_sdk 2.32.0-1
python-setuptools 1:80.9.0-1
python-six 1.17.0-1
python-tqdm 4.67.1-2
python-urllib3 2.5.0-1
python-urwid 3.0.2-1
python-wcwidth 0.2.13-3
python-wheel 0.45.1-1
python-xlib 0.33-4
qca-qt6 2.3.10-2
qcoro 0.12.0-1
qcustomplot 2.1.1-1
qemu-audio-alsa 10.0.0-7
qemu-audio-dbus 10.0.0-7
qemu-audio-jack 10.0.0-7
qemu-audio-oss 10.0.0-7
qemu-audio-pa 10.0.0-7
qemu-audio-pipewire 10.0.0-7
qemu-audio-sdl 10.0.0-7
qemu-audio-spice 10.0.0-7
qemu-base 10.0.0-7
qemu-block-curl 10.0.0-7
qemu-block-dmg 10.0.0-7
qemu-block-gluster 10.0.0-7
qemu-block-iscsi 10.0.0-7
qemu-block-nfs 10.0.0-7
qemu-block-ssh 10.0.0-7
qemu-chardev-baum 10.0.0-7
qemu-chardev-spice 10.0.0-7
qemu-common 10.0.0-7
qemu-desktop 10.0.0-7
qemu-docs 10.0.0-7
qemu-emulators-full 10.0.0-7
qemu-full 10.0.0-7
qemu-hw-display-qxl 10.0.0-7
